PLNR
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/24/1996
11/6/1996
1/22/1997
4/23/1997
7/23/1997
11/4/1997
1/21/1998
4/22/1998
7/22/1998
11/4/1998
1/20/1999
4/21/1999
7/21/1999
11/3/1999
1/19/2000
4/19/2000
7/19/2000
11/1/2000
1/17/2001
4/18/2001
7/18/2001
10/31/2001
1/16/2002
4/17/2002
7/17/2002
10/23/2002
1/15/2003
4/16/2003
7/16/2003
10/22/2003
1/14/2004
4/14/2004
7/14/2004
10/20/2004
1/19/2005
4/20/2005
7/20/2005
11/2/2005
1/26/2006
4/27/2006
7/19/2006
11/15/2006
2/6/2007
5/8/2007
8/7/2007
11/19/2007
2/5/2008
4/29/2008
8/6/2008
11/19/2008
2/3/2009
5/5/2009
8/4/2009
11/17/2009
2/2/2010
4/27/2010
7/29/2010
11/9/2010
2/3/2011
5/3/2011
8/11/2011
11/3/2011
2/7/2012
5/2/2012
8/13/2012
11/20/2012
2/6/2013
5/6/2013
8/8/2013
11/20/2013
2/5/2014
5/6/2014
7/31/2014
11/5/2014
2/3/2015
5/7/2015
8/6/2015
