ES
LATEST_ANNOUNCEMENT_DT
4/22/1992
7/29/1992
10/27/1992
1/27/1993
4/27/1993
7/27/1993
10/26/1993
1/25/1994
4/26/1994
7/26/1994
10/25/1994
1/24/1995
4/25/1995
7/25/1995
10/24/1995
1/23/1996
4/23/1996
7/23/1996
10/22/1996
1/28/1997
5/14/1997
8/13/1997
11/12/1997
1/27/1998
4/28/1998
7/28/1998
10/19/1998
2/10/1999
4/27/1999
7/27/1999
10/20/1999
1/25/2000
4/25/2000
7/25/2000
10/24/2000
1/23/2001
4/24/2001
7/24/2001
10/23/2001
1/22/2002
4/23/2002
7/23/2002
10/21/2002
1/28/2003
4/22/2003
7/22/2003
10/27/2003
1/27/2004
4/29/2004
7/28/2004
10/25/2004
2/4/2005
4/29/2005
7/26/2005
11/7/2005
2/15/2006
5/4/2006
8/3/2006
11/6/2006
2/19/2007
4/26/2007
8/3/2007
11/5/2007
2/20/2008
5/1/2008
8/1/2008
11/10/2008
2/17/2009
4/29/2009
8/4/2009
11/2/2009
2/23/2010
5/5/2010
8/3/2010
10/29/2010
2/24/2011
5/5/2011
8/2/2011
11/4/2011
2/23/2012
5/2/2012
7/30/2012
11/1/2012
2/19/2013
5/1/2013
7/29/2013
10/31/2013
2/6/2014
5/1/2014
7/31/2014
11/6/2014
2/11/2015
4/29/2015
7/30/2015
11/03/2015
02/05/2016
05/04/2016
07/28/2016
11/01/2016
02/21/2017
05/03/2017
