MSEL
LATEST_ANNOUNCEMENT_DT
5/13/1996
8/12/1996
11/8/1996
2/24/1997
5/12/1997
8/4/1997
11/6/1997
2/23/1998
5/12/1998
8/11/1998
11/12/1998
2/23/1999
5/13/1999
7/28/1999
10/27/1999
3/16/2000
5/4/2000
8/21/2000
11/20/2000
4/30/2001
5/15/2001
8/14/2001
10/31/2001
3/14/2002
5/3/2002
8/1/2002
10/29/2002
2/18/2003
5/1/2003
7/30/2003
10/29/2003
3/5/2004
4/29/2004
8/11/2004
11/8/2004
10/6/2005
1/19/2006
1/19/2006
1/19/2006
3/31/2006
5/15/2006
8/14/2006
11/14/2006
4/17/2007
5/15/2007
8/14/2007
11/14/2007
3/28/2008
5/15/2008
8/14/2008
11/14/2008
3/31/2009
5/15/2009
8/14/2009
11/16/2009
3/31/2010
5/13/2010
8/16/2010
11/15/2010
3/15/2011
5/16/2011
8/16/2011
11/15/2011
3/30/2012
5/16/2012
8/20/2012
11/26/2012
3/29/2013
5/15/2013
