GB
LATEST_ANNOUNCEMENT_DT
4/20/2000
7/18/2000
10/26/2000
1/25/2001
4/26/2001
7/23/2001
10/25/2001
1/28/2002
4/29/2002
7/31/2002
10/30/2002
1/27/2003
4/28/2003
8/5/2003
11/5/2003
2/10/2004
5/11/2004
8/5/2004
11/9/2004
2/17/2005
5/3/2005
8/9/2005
11/9/2005
2/22/2006
4/26/2006
7/26/2006
10/25/2006
2/8/2007
4/26/2007
8/7/2007
11/6/2007
2/25/2008
5/6/2008
8/5/2008
11/4/2008
3/3/2009
5/6/2009
8/4/2009
11/5/2009
2/23/2010
4/29/2010
7/28/2010
10/28/2010
2/24/2011
4/28/2011
7/27/2011
10/27/2011
2/23/2012
4/26/2012
7/25/2012
10/25/2012
2/25/2013
4/25/2013
7/25/2013
10/24/2013
2/24/2014
4/30/2014
7/31/2014
10/30/2014
2/24/2015
4/30/2015
7/30/2015
10/29/2015
2/29/2016
04/28/2016
08/04/2016
