MRLL
LATEST_ANNOUNCEMENT_DT
5/21/1996
8/20/1996
11/26/1996
3/26/1997
5/19/1997
8/26/1997
11/25/1997
3/31/1998
5/28/1998
8/25/1998
11/30/1998
3/30/1999
6/2/1999
8/31/1999
12/15/1999
4/28/2000
6/9/2000
9/12/2000
12/20/2000
