INGN
LATEST_ANNOUNCEMENT_DT
11/27/2013
11/27/2013
3/27/2014
5/13/2014
8/12/2014
11/11/2014
4/27/2015
5/12/2015
8/11/2015
11/10/2015
3/14/2016
05/09/2016
08/04/2016
11/03/2016
02/28/2017
05/08/2017
