EGOV
LATEST_ANNOUNCEMENT_DT
7/28/1999
10/21/1999
2/3/2000
4/27/2000
7/27/2000
10/26/2000
2/1/2001
4/26/2001
7/26/2001
10/25/2001
1/24/2002
4/25/2002
8/1/2002
10/31/2002
1/30/2003
5/1/2003
7/31/2003
10/30/2003
1/29/2004
4/29/2004
7/29/2004
10/28/2004
1/27/2005
5/3/2005
7/28/2005
10/27/2005
1/26/2006
4/27/2006
7/27/2006
10/26/2006
1/31/2007
4/30/2007
8/1/2007
11/7/2007
2/6/2008
5/5/2008
7/30/2008
11/6/2008
2/4/2009
5/4/2009
8/6/2009
11/5/2009
2/4/2010
5/3/2010
8/5/2010
11/4/2010
2/3/2011
5/2/2011
8/2/2011
11/3/2011
2/2/2012
4/30/2012
8/2/2012
11/8/2012
2/7/2013
5/6/2013
8/1/2013
11/7/2013
2/6/2014
5/5/2014
8/7/2014
11/6/2014
2/5/2015
5/4/2015
8/6/2015
11/5/2015
2/4/2016
05/02/2016
08/04/2016
11/03/2016
02/01/2017
05/01/2017
