MROI
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/18/1996
11/12/1996
1/16/1997
4/17/1997
7/17/1997
11/13/1997
1/15/1998
4/16/1998
7/16/1998
11/5/1998
1/19/1999
4/20/1999
7/20/1999
11/3/1999
1/25/2000
4/25/2000
7/20/2000
11/2/2000
1/25/2001
4/24/2001
7/19/2001
11/1/2001
1/17/2002
4/22/2002
7/18/2002
10/31/2002
1/23/2003
4/17/2003
7/17/2003
10/30/2003
1/22/2004
4/15/2004
7/15/2004
11/4/2004
1/20/2005
4/14/2005
7/14/2005
11/3/2005
1/19/2006
4/20/2006
7/20/2006
