THOR
LATEST_ANNOUNCEMENT_DT
4/17/1990
7/26/1990
10/31/1990
4/16/1991
7/25/1991
10/30/1991
4/14/1992
7/23/1992
5/12/1993
8/11/1993
10/27/1993
3/22/1994
5/16/1994
8/11/1994
11/10/1994
5/13/1995
5/15/1995
8/3/1995
11/14/1995
3/5/1996
5/13/1996
8/12/1996
11/6/1996
1/29/1997
5/7/1997
7/30/1997
11/3/1997
2/10/1998
5/1/1998
8/3/1998
11/5/1998
2/4/1999
5/4/1999
7/13/1999
10/21/1999
1/24/2000
4/24/2000
7/25/2000
10/24/2000
1/22/2001
4/24/2001
7/24/2001
10/23/2001
1/29/2002
4/25/2002
7/24/2002
10/23/2002
1/28/2003
4/22/2003
7/22/2003
10/21/2003
2/3/2004
4/27/2004
7/29/2004
10/26/2004
2/1/2005
4/26/2005
7/26/2005
10/25/2005
1/31/2006
5/2/2006
7/31/2006
10/31/2006
2/15/2007
5/3/2007
7/31/2007
11/1/2007
2/5/2008
5/1/2008
7/31/2008
10/30/2008
2/5/2009
5/7/2009
8/5/2009
11/4/2009
1/28/2010
4/29/2010
7/29/2010
10/28/2010
1/27/2011
5/3/2011
8/3/2011
11/1/2011
2/8/2012
5/1/2012
8/1/2012
11/1/2012
2/5/2013
5/2/2013
7/31/2013
10/30/2013
2/4/2014
5/6/2014
8/6/2014
11/5/2014
2/10/2015
5/7/2015
8/4/2015
11/04/2015
