AMMBQ
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/22/1996
2/4/1997
4/23/1997
7/22/1997
10/21/1997
2/2/1998
4/20/1998
7/22/1998
10/20/1998
2/9/1999
4/20/1999
7/20/1999
11/8/1999
3/31/2000
5/4/2000
8/2/2000
11/14/2000
3/30/2001
5/14/2001
