THRT
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/15/1996
10/22/1996
2/12/1997
4/22/1997
7/22/1997
10/21/1997
2/10/1998
4/22/1998
7/22/1998
10/21/1998
