RBC
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/23/1996
1/30/1997
4/24/1997
7/17/1997
10/15/1997
1/29/1998
4/21/1998
7/15/1998
10/20/1998
1/28/1999
4/21/1999
7/15/1999
10/19/1999
1/28/2000
4/19/2000
7/20/2000
10/23/2000
2/1/2001
4/18/2001
7/19/2001
10/17/2001
1/29/2002
4/18/2002
7/18/2002
10/18/2002
2/3/2003
4/21/2003
7/21/2003
10/22/2003
1/28/2004
4/21/2004
7/21/2004
10/27/2004
2/10/2005
4/28/2005
7/26/2005
11/3/2005
2/8/2006
5/1/2006
8/9/2006
10/31/2006
2/5/2007
4/30/2007
7/31/2007
11/1/2007
2/6/2008
5/1/2008
8/1/2008
11/3/2008
2/4/2009
5/6/2009
8/3/2009
11/1/2009
2/3/2010
5/3/2010
8/2/2010
11/1/2010
2/2/2011
5/2/2011
8/4/2011
10/31/2011
2/6/2012
5/1/2012
7/31/2012
10/29/2012
2/4/2013
4/30/2013
7/30/2013
10/28/2013
2/10/2014
5/5/2014
7/29/2014
11/3/2014
2/17/2015
5/11/2015
8/3/2015
11/9/2015
2/8/2016
05/09/2016
08/08/2016
11/07/2016
02/06/2017
05/08/2017
