SHOO
LATEST_ANNOUNCEMENT_DT
5/13/1996
8/15/1996
11/4/1996
3/20/1997
5/1/1997
8/5/1997
11/7/1997
3/10/1998
5/6/1998
7/30/1998
11/3/1998
3/3/1999
5/4/1999
7/27/1999
11/3/1999
2/29/2000
5/3/2000
8/2/2000
11/1/2000
3/30/2001
5/2/2001
8/14/2001
11/1/2001
2/27/2002
5/1/2002
7/29/2002
10/29/2002
2/27/2003
4/29/2003
7/29/2003
10/28/2003
2/26/2004
4/27/2004
7/27/2004
10/26/2004
3/1/2005
5/3/2005
8/2/2005
11/2/2005
3/2/2006
5/2/2006
7/27/2006
11/1/2006
3/1/2007
5/1/2007
8/7/2007
11/1/2007
2/19/2008
5/1/2008
8/5/2008
11/6/2008
2/24/2009
5/5/2009
7/30/2009
11/3/2009
2/25/2010
5/4/2010
7/29/2010
11/2/2010
2/22/2011
5/5/2011
8/2/2011
11/1/2011
2/21/2012
5/3/2012
7/26/2012
11/1/2012
2/26/2013
5/7/2013
8/1/2013
10/31/2013
2/25/2014
5/1/2014
7/31/2014
10/30/2014
2/24/2015
4/24/2015
7/30/2015
10/29/2015
2/24/2016
04/22/2016
08/02/2016
11/01/2016
02/28/2017
04/28/2017
