MATK
LATEST_ANNOUNCEMENT_DT
6/3/1996
9/5/1996
12/16/1996
3/13/1997
6/11/1997
9/10/1997
12/16/1997
3/10/1998
6/2/1998
9/14/1998
12/16/1998
3/9/1999
6/8/1999
9/13/1999
12/22/1999
3/13/2000
6/13/2000
9/12/2000
12/12/2000
3/12/2001
6/5/2001
9/13/2001
12/7/2001
3/12/2002
6/5/2002
9/10/2002
12/12/2002
3/13/2003
6/3/2003
9/9/2003
12/16/2003
3/10/2004
6/9/2004
9/8/2004
12/9/2004
3/9/2005
6/7/2005
9/8/2005
12/13/2005
3/7/2006
6/6/2006
9/6/2006
12/12/2006
3/7/2007
6/6/2007
9/5/2007
12/12/2007
3/5/2008
6/4/2008
9/4/2008
12/11/2008
3/4/2009
6/3/2009
9/2/2009
12/16/2009
3/2/2010
6/3/2010
9/1/2010
12/8/2010
