FGCIQ
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/30/1996
11/11/1996
3/14/1997
5/5/1997
7/31/1997
11/6/1997
3/9/1998
5/12/1998
8/13/1998
11/5/1998
3/11/1999
5/10/1999
8/12/1999
11/19/1999
4/14/2000
5/22/2000
8/18/2000
11/21/2000
