GYLDQ
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/17/1996
10/30/1996
1/15/1997
4/16/1997
7/16/1997
10/30/1997
1/14/1998
4/30/1998
7/22/1998
11/5/1998
1/27/1999
4/27/1999
7/22/1999
11/8/1999
1/20/2000
4/20/2000
8/2/2000
11/2/2000
1/17/2001
4/18/2001
7/18/2001
11/7/2001
2/19/2002
