ASH
LATEST_ANNOUNCEMENT_DT
10/22/1991
10/22/1992
1/23/1992
4/23/1992
10/22/1992
1/25/1993
4/23/1993
7/22/1993
10/25/1993
1/24/1994
4/21/1994
7/21/1994
10/24/1994
1/23/1995
4/24/1995
7/20/1995
10/23/1995
1/22/1996
4/18/1996
7/18/1996
10/21/1996
1/21/1997
4/17/1997
7/21/1997
10/20/1997
1/21/1998
4/23/1998
7/23/1998
10/26/1998
1/25/1999
4/22/1999
7/22/1999
10/25/1999
1/24/2000
4/24/2000
7/24/2000
10/23/2000
1/24/2001
4/23/2001
7/23/2001
10/22/2001
1/25/2002
4/19/2002
7/22/2002
10/21/2002
1/23/2003
4/22/2003
7/22/2003
10/21/2003
1/26/2004
4/26/2004
7/26/2004
10/25/2004
1/25/2005
4/25/2005
7/25/2005
10/24/2005
1/25/2006
4/26/2006
7/26/2006
10/30/2006
1/24/2007
4/25/2007
7/25/2007
10/29/2007
1/28/2008
4/29/2008
7/24/2008
10/28/2008
1/27/2009
4/30/2009
7/24/2009
10/28/2009
1/26/2010
4/27/2010
7/23/2010
10/26/2010
1/25/2011
4/26/2011
7/28/2011
11/9/2011
1/24/2012
4/24/2012
7/26/2012
10/30/2012
1/29/2013
4/24/2013
7/25/2013
11/5/2013
1/27/2014
4/30/2014
7/31/2014
11/5/2014
1/26/2015
4/29/2015
7/29/2015
11/03/2015
01/25/2016
04/26/2016
07/26/2016
11/08/2016
01/26/2017
04/25/2017
