TSLA
LATEST_ANNOUNCEMENT_DT
6/28/2010
6/28/2010
8/4/2010
11/9/2010
2/15/2011
5/4/2011
8/3/2011
11/2/2011
2/15/2012
5/9/2012
7/25/2012
11/5/2012
2/20/2013
5/8/2013
8/7/2013
11/5/2013
2/19/2014
5/7/2014
7/31/2014
11/5/2014
2/11/2015
5/6/2015
8/5/2015
11/03/2015
02/10/2016
05/04/2016
08/03/2016
10/26/2016
02/22/2017
05/03/2017
