APSG
LATEST_ANNOUNCEMENT_DT
5/17/1996
8/16/1996
12/16/1996
2/13/1997
5/15/1997
8/14/1997
12/15/1997
2/12/1998
5/14/1998
8/13/1998
12/14/1998
2/11/1999
5/13/1999
8/16/1999
12/13/1999
2/10/2000
5/11/2000
8/14/2000
12/18/2000
2/21/2001
5/21/2001
8/22/2001
12/19/2001
2/19/2002
6/14/2002
8/27/2002
12/17/2002
2/18/2003
5/20/2003
8/19/2003
12/16/2003
2/24/2004
5/25/2004
8/24/2004
12/21/2004
2/22/2005
5/24/2005
9/1/2005
12/22/2005
2/28/2006
5/22/2006
8/22/2006
12/18/2006
3/9/2007
5/29/2007
9/10/2007
12/18/2007
2/26/2008
5/28/2008
8/26/2008
12/16/2008
2/24/2009
6/2/2009
9/1/2009
12/17/2009
3/2/2010
6/7/2010
8/31/2010
12/16/2010
