UHT
LATEST_ANNOUNCEMENT_DT
4/12/1996
7/12/1996
10/11/1996
1/17/1997
4/9/1997
7/14/1997
10/13/1997
1/20/1998
4/13/1998
7/14/1998
10/14/1998
1/19/1999
5/13/1999
6/30/1999
10/14/1999
1/20/2000
4/13/2000
7/13/2000
10/13/2000
1/19/2001
4/16/2001
7/18/2001
10/15/2001
1/22/2002
4/16/2002
7/16/2002
10/16/2002
1/22/2003
4/17/2003
7/17/2003
10/16/2003
1/22/2004
4/19/2004
7/19/2004
10/20/2004
2/2/2005
4/21/2005
7/21/2005
10/24/2005
2/14/2006
4/25/2006
7/24/2006
10/23/2006
2/12/2007
4/24/2007
7/24/2007
10/30/2007
2/27/2008
4/25/2008
7/24/2008
10/23/2008
2/27/2009
4/23/2009
7/22/2009
10/22/2009
2/23/2010
4/21/2010
7/21/2010
10/20/2010
2/24/2011
4/21/2011
7/21/2011
10/20/2011
3/1/2012
4/24/2012
7/24/2012
10/25/2012
2/27/2013
4/24/2013
7/24/2013
10/23/2013
2/26/2014
4/23/2014
7/23/2014
10/23/2014
2/25/2015
4/28/2015
7/29/2015
10/28/2015
2/29/2016
4/28/2016
7/27/2016
