SHOY
LATEST_ANNOUNCEMENT_DT
4/2/1996
9/13/1996
1/21/1997
3/14/1997
9/17/1997
12/22/1997
3/20/1998
6/15/1998
9/2/1998
12/17/1998
3/22/1999
6/15/1999
9/2/1999
12/21/1999
3/22/2000
9/14/2000
1/29/2001
4/4/2001
6/27/2001
2/12/2002
3/15/2002
