UBA
LATEST_ANNOUNCEMENT_DT
6/12/1996
12/18/1996
3/12/1997
6/11/1997
9/18/1997
12/17/1997
3/11/1998
6/10/1998
9/17/1998
12/15/1998
3/15/1999
6/14/1999
9/15/1999
12/9/1999
3/15/2000
6/7/2000
9/14/2000
12/13/2000
3/14/2001
6/13/2001
9/14/2001
12/13/2001
3/14/2002
6/11/2002
9/13/2002
12/11/2002
3/12/2003
6/11/2003
9/10/2003
12/10/2003
3/10/2004
6/14/2004
9/9/2004
12/17/2004
3/11/2005
6/8/2005
9/13/2005
12/15/2005
3/10/2006
6/8/2006
9/8/2006
12/14/2006
3/9/2007
6/8/2007
9/7/2007
12/13/2007
3/7/2008
6/6/2008
9/9/2008
12/11/2008
3/6/2009
6/4/2009
9/9/2009
12/17/2009
3/10/2010
6/9/2010
9/8/2010
12/16/2010
3/10/2011
6/7/2011
9/7/2011
12/15/2011
3/7/2012
6/5/2012
9/6/2012
12/13/2012
3/6/2013
6/7/2013
9/6/2013
12/13/2013
3/11/2014
6/9/2014
9/8/2014
12/12/2014
3/11/2015
6/8/2015
9/4/2015
12/18/2015
3/10/2016
06/13/2016
09/09/2016
12/16/2016
03/09/2017
