SVU
LATEST_ANNOUNCEMENT_DT
6/26/1990
9/18/1990
12/13/1990
4/8/1991
9/14/1991
9/23/1991
12/13/1991
4/8/1992
6/30/1992
9/23/1992
12/18/1992
4/13/1993
6/29/1993
9/24/1993
12/15/1993
4/11/1994
6/29/1994
9/22/1994
12/16/1994
4/11/1995
6/28/1995
9/21/1995
12/13/1995
4/10/1996
6/27/1996
9/18/1996
12/12/1996
4/3/1997
6/26/1997
9/18/1997
12/18/1997
4/13/1998
7/1/1998
10/1/1998
12/22/1998
4/7/1999
6/30/1999
9/30/1999
12/16/1999
3/30/2000
6/28/2000
9/28/2000
12/18/2000
4/4/2001
6/26/2001
9/20/2001
12/19/2001
4/3/2002
7/1/2002
10/1/2002
12/18/2002
4/10/2003
7/10/2003
10/8/2003
12/22/2003
4/15/2004
7/22/2004
10/14/2004
1/11/2005
4/19/2005
7/20/2005
10/17/2005
1/10/2006
4/18/2006
7/26/2006
10/10/2006
1/9/2007
4/19/2007
7/24/2007
10/16/2007
1/8/2008
4/17/2008
7/22/2008
10/14/2008
1/7/2009
4/23/2009
7/28/2009
10/20/2009
1/12/2010
4/20/2010
7/27/2010
10/19/2010
1/11/2011
4/14/2011
7/26/2011
10/19/2011
1/11/2012
4/10/2012
7/11/2012
10/18/2012
1/10/2013
4/24/2013
7/18/2013
10/17/2013
1/9/2014
4/23/2014
7/24/2014
10/16/2014
1/7/2015
4/28/2015
7/28/2015
10/21/2015
01/13/2016
04/26/2016
07/27/2016
10/19/2016
01/11/2017
04/25/2017
