DXPE
LATEST_ANNOUNCEMENT_DT
5/21/1997
8/18/1997
11/24/1997
2/16/1998
5/21/1998
8/19/1998
11/18/1998
3/31/1999
5/19/1999
8/16/1999
11/16/1999
3/29/2000
5/17/2000
8/21/2000
11/14/2000
3/30/2001
5/14/2001
8/15/2001
11/15/2001
3/25/2002
5/14/2002
8/14/2002
11/14/2002
3/21/2003
5/2/2003
8/7/2003
11/12/2003
3/3/2004
5/5/2004
7/29/2004
10/28/2004
3/2/2005
4/27/2005
7/20/2005
10/26/2005
3/2/2006
4/26/2006
7/24/2006
11/1/2006
3/15/2007
4/24/2007
7/30/2007
10/25/2007
3/5/2008
5/12/2008
7/30/2008
11/14/2008
3/10/2009
5/7/2009
7/30/2009
11/3/2009
3/22/2010
5/3/2010
7/22/2010
11/1/2010
3/16/2011
5/4/2011
7/27/2011
10/26/2011
2/29/2012
5/2/2012
8/1/2012
10/30/2013
2/27/2013
5/1/2013
8/1/2013
10/30/2013
3/3/2014
5/12/2014
7/31/2014
11/3/2014
3/2/2015
5/7/2015
8/10/2015
11/5/2015
2/26/2016
05/13/2016
08/08/2016
11/14/2016
03/10/2017
