UDR
LATEST_ANNOUNCEMENT_DT
4/20/1995
7/12/1995
10/16/1995
1/26/1996
4/15/1996
7/17/1996
10/15/1996
1/28/1997
4/14/1997
7/18/1997
10/20/1997
2/2/1998
4/28/1998
7/23/1998
10/23/1998
1/27/1999
4/28/1999
7/27/1999
10/26/1999
1/31/2000
5/1/2000
7/27/2000
10/31/2000
2/1/2001
4/30/2001
7/23/2001
10/22/2001
2/4/2002
4/22/2002
7/22/2002
10/29/2002
2/10/2003
4/28/2003
7/28/2003
10/27/2003
2/9/2004
4/19/2004
7/19/2004
10/25/2004
1/31/2005
4/18/2005
7/25/2005
10/24/2005
2/6/2006
4/24/2006
7/31/2006
10/30/2006
3/1/2007
4/30/2007
7/30/2007
11/5/2007
1/29/2008
5/5/2008
8/4/2008
11/3/2008
2/9/2009
5/5/2009
8/4/2009
10/19/2009
2/9/2010
5/3/2010
8/2/2010
11/8/2010
2/7/2011
5/2/2011
8/1/2011
10/31/2011
2/6/2012
4/30/2012
7/30/2012
10/29/2012
2/5/2013
4/30/2013
7/30/2013
10/29/2013
2/4/2014
4/29/2014
7/29/2014
10/28/2014
2/2/2015
4/27/2015
7/27/2015
10/26/2015
02/02/2016
04/25/2016
07/26/2016
10/25/2016
01/30/2017
04/24/2017
