IDCC
LATEST_ANNOUNCEMENT_DT
3/30/1993
5/17/1993
8/13/1993
11/12/1993
4/27/1994
5/16/1994
8/16/1994
11/15/1994
3/27/1995
5/15/1995
8/14/1995
11/15/1995
3/20/1996
5/13/1996
8/14/1996
11/14/1996
3/18/1997
5/14/1997
8/1/1997
10/30/1997
3/4/1998
5/7/1998
8/10/1998
11/4/1998
2/25/1999
4/29/1999
8/5/1999
10/26/1999
2/11/2000
5/4/2000
7/20/2000
10/24/2000
2/6/2001
4/26/2001
7/31/2001
10/23/2001
2/14/2002
5/8/2002
8/6/2002
11/12/2002
2/11/2003
5/13/2003
8/13/2003
11/13/2003
3/10/2004
5/10/2004
8/9/2004
11/9/2004
3/10/2005
5/6/2005
8/4/2005
11/3/2005
3/9/2006
5/4/2006
8/2/2006
11/1/2006
2/28/2007
5/8/2007
8/8/2007
10/31/2007
2/28/2008
5/7/2008
8/6/2008
10/30/2008
3/2/2009
5/6/2009
7/28/2009
10/28/2009
2/24/2010
4/28/2010
7/28/2010
10/27/2010
2/23/2011
4/27/2011
7/27/2011
10/26/2011
2/23/2012
4/25/2012
7/25/2012
10/24/2012
2/20/2013
4/25/2013
7/25/2013
10/31/2013
2/20/2014
5/1/2014
8/7/2014
10/30/2014
2/19/2015
4/29/2015
7/30/2015
10/30/2015
02/18/2016
04/28/2016
08/02/2016
10/27/2016
02/23/2017
04/27/2017
