QLGC
LATEST_ANNOUNCEMENT_DT
5/21/1996
7/17/1996
10/16/1996
1/22/1997
5/13/1997
7/17/1997
10/20/1997
1/21/1998
5/12/1998
7/16/1998
10/15/1998
1/21/1999
5/6/1999
7/15/1999
10/12/1999
1/19/2000
5/10/2000
7/19/2000
10/18/2000
1/23/2001
5/15/2001
7/24/2001
10/23/2001
1/23/2002
5/7/2002
7/18/2002
10/16/2002
1/15/2003
4/29/2003
7/16/2003
10/15/2003
1/14/2004
4/28/2004
7/14/2004
10/13/2004
1/19/2005
5/4/2005
7/20/2005
10/19/2005
1/18/2006
5/3/2006
7/25/2006
10/24/2006
1/23/2007
5/3/2007
7/26/2007
10/23/2007
1/23/2008
5/1/2008
7/21/2008
10/21/2008
1/26/2009
4/30/2009
7/21/2009
10/21/2009
1/26/2010
4/29/2010
7/22/2010
10/21/2010
1/27/2011
5/5/2011
7/28/2011
10/27/2011
1/26/2012
5/3/2012
7/26/2012
10/25/2012
1/24/2013
5/2/2013
7/25/2013
10/24/2013
1/29/2014
5/1/2014
7/24/2014
10/16/2014
1/29/2015
4/30/2015
7/30/2015
10/22/2015
1/28/2016
05/05/2016
08/04/2016
10/27/2016
