BGFV
LATEST_ANNOUNCEMENT_DT
1/1/2002
6/24/2002
7/31/2002
10/30/2002
2/12/2003
5/1/2003
7/30/2003
10/29/2003
2/11/2004
4/29/2004
8/4/2004
10/27/2004
2/9/2005
5/4/2005
9/30/2005
11/10/2005
3/9/2006
5/11/2006
8/10/2006
11/6/2006
3/8/2007
5/3/2007
8/1/2007
11/1/2007
2/28/2008
4/30/2008
7/31/2008
11/3/2008
2/26/2009
4/30/2009
8/4/2009
11/3/2009
3/2/2010
5/6/2010
8/5/2010
11/2/2010
3/1/2011
5/3/2011
8/2/2011
11/1/2011
2/28/2012
5/1/2012
7/31/2012
11/1/2012
2/26/2013
4/30/2013
7/30/2013
10/29/2013
2/25/2014
4/29/2014
7/29/2014
10/28/2014
2/24/2015
4/28/2015
7/28/2015
10/27/2015
3/1/2016
05/03/2016
08/02/2016
11/01/2016
02/28/2017
05/02/2017
