DBD
LATEST_ANNOUNCEMENT_DT
4/14/1993
7/14/1993
10/14/1993
1/18/1994
4/14/1994
7/18/1994
10/13/1994
1/18/1995
4/13/1995
7/17/1995
10/12/1995
1/16/1996
4/17/1996
7/18/1996
10/17/1996
1/16/1997
4/18/1997
7/17/1997
10/15/1997
1/20/1998
4/16/1998
7/16/1998
10/15/1998
1/19/1999
4/19/1999
7/20/1999
10/20/1999
1/18/2000
4/17/2000
7/26/2000
10/25/2000
1/23/2001
4/24/2001
7/25/2001
10/24/2001
1/23/2002
4/23/2002
7/24/2002
10/23/2002
1/29/2003
4/22/2003
7/23/2003
10/22/2003
1/28/2004
4/20/2004
7/21/2004
10/20/2004
1/26/2005
4/20/2005
7/27/2005
10/26/2005
1/31/2006
4/25/2006
7/25/2006
10/30/2006
1/30/2007
4/25/2007
8/7/2007
11/6/2007
2/29/2008
4/30/2008
8/11/2008
10/30/2008
2/4/2009
5/5/2009
8/4/2009
11/3/2009
2/3/2010
4/27/2010
7/29/2010
10/28/2010
2/14/2011
4/27/2011
7/27/2011
10/27/2011
2/13/2012
4/25/2012
7/30/2012
10/25/2012
2/12/2013
4/30/2013
8/6/2013
10/30/2013
2/13/2014
4/29/2014
8/6/2014
10/30/2014
2/12/2015
4/30/2015
7/30/2015
10/29/2015
02/11/2016
04/28/2016
07/28/2016
11/15/2016
02/14/2017
04/27/2017
