HPT
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/29/1996
10/31/1996
2/6/1997
4/28/1997
7/28/1997
10/27/1997
2/4/1998
4/27/1998
7/23/1998
10/26/1998
2/1/1999
4/26/1999
7/26/1999
11/1/1999
1/31/2000
5/1/2000
7/31/2000
11/1/2000
1/31/2001
5/8/2001
8/6/2001
11/6/2001
1/29/2002
5/6/2002
8/6/2002
11/4/2002
2/3/2003
5/5/2003
8/5/2003
11/3/2003
2/10/2004
5/5/2004
8/4/2004
11/3/2004
2/8/2005
5/4/2005
8/4/2005
11/7/2005
2/9/2006
5/3/2006
8/2/2006
11/1/2006
2/22/2007
5/2/2007
8/1/2007
11/7/2007
2/13/2008
5/6/2008
8/11/2008
11/10/2008
3/2/2009
5/11/2009
8/6/2009
11/9/2009
2/24/2010
5/10/2010
8/9/2010
11/8/2010
2/18/2011
5/9/2011
8/9/2011
11/7/2011
2/29/2012
5/7/2012
8/7/2012
11/6/2012
3/1/2013
5/7/2013
8/6/2013
11/5/2013
2/25/2014
5/6/2014
8/11/2014
11/4/2014
2/27/2015
5/7/2015
8/10/2015
11/09/2015
02/24/2016
05/10/2016
08/09/2016
11/09/2016
03/01/2017
05/09/2017
