MATR
LATEST_ANNOUNCEMENT_DT
10/24/2000
1/30/2001
5/1/2001
7/31/2001
10/30/2001
1/31/2002
4/30/2002
7/30/2002
10/29/2002
1/30/2003
4/30/2003
7/31/2003
11/6/2003
2/9/2004
5/10/2004
8/9/2004
11/8/2004
2/14/2005
5/16/2005
8/11/2005
11/10/2005
2/13/2006
5/11/2006
8/9/2006
11/8/2006
2/14/2007
5/9/2007
8/8/2007
11/7/2007
2/14/2008
5/7/2008
8/6/2008
11/5/2008
2/12/2009
5/6/2009
8/5/2009
11/4/2009
2/10/2010
5/5/2010
8/5/2010
11/3/2010
2/16/2011
5/12/2011
8/10/2011
11/9/2011
2/15/2012
5/10/2012
8/8/2012
11/7/2012
2/13/2013
5/8/2013
8/7/2013
11/6/2013
2/12/2014
5/7/2014
8/6/2014
11/5/2014
2/11/2015
5/6/2015
8/5/2015
11/4/2015
2/10/2016
