MATX
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
1/24/1997
4/17/1997
7/17/1997
10/16/1997
1/23/1998
4/16/1998
7/16/1998
10/15/1998
1/29/1999
4/15/1999
7/15/1999
10/21/1999
1/28/2000
4/20/2000
7/20/2000
10/19/2000
1/26/2001
4/19/2001
7/18/2001
10/17/2001
1/24/2002
4/17/2002
7/17/2002
10/23/2002
1/23/2003
4/22/2003
7/24/2003
10/23/2003
1/22/2004
4/21/2004
7/27/2004
10/28/2004
1/27/2005
4/27/2005
7/27/2005
10/27/2005
2/1/2006
4/26/2006
7/28/2006
10/27/2006
2/1/2007
4/30/2007
7/26/2007
10/26/2007
2/5/2008
4/30/2008
7/25/2008
10/24/2008
2/4/2009
4/30/2009
7/24/2009
10/29/2009
2/3/2010
5/4/2010
7/29/2010
11/3/2010
2/3/2011
5/3/2011
8/8/2011
11/8/2011
2/13/2012
5/9/2012
8/1/2012
11/8/2012
3/1/2013
5/6/2013
8/7/2013
11/6/2013
2/25/2014
5/6/2014
7/31/2014
11/6/2014
2/24/2015
5/4/2015
8/4/2015
11/4/2015
2/23/2016
05/04/2016
08/02/2016
11/07/2016
02/21/2017
05/03/2017
