GBCB
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/16/1996
10/16/1996
1/22/1997
4/18/1997
7/16/1997
10/17/1997
1/15/1998
4/16/1998
7/14/1998
10/14/1998
1/21/1999
4/15/1999
7/9/1999
10/15/1999
1/20/2000
4/18/2000
7/14/2000
10/12/2000
1/19/2001
4/17/2001
7/19/2001
10/11/2001
1/17/2002
4/17/2002
7/18/2002
10/17/2002
1/23/2003
4/22/2003
7/22/2003
9/30/2003
