MNTA
LATEST_ANNOUNCEMENT_DT
5/21/2004
8/16/2004
11/5/2004
2/10/2005
5/10/2005
8/10/2005
11/2/2005
2/14/2006
5/9/2006
8/8/2006
11/3/2006
2/13/2007
5/8/2007
8/7/2007
11/1/2007
3/6/2008
5/7/2008
7/24/2008
11/3/2008
2/12/2009
5/7/2009
8/6/2009
11/5/2009
2/11/2010
5/6/2010
8/2/2010
11/1/2010
2/10/2011
5/5/2011
8/4/2011
11/7/2011
2/9/2012
5/3/2012
8/2/2012
11/7/2012
2/15/2013
4/30/2013
8/1/2013
11/5/2013
2/10/2014
5/6/2014
7/31/2014
11/5/2014
2/17/2015
5/1/2015
8/4/2015
11/4/2015
2/18/2016
05/03/2016
08/04/2016
11/02/2016
02/21/2017
05/02/2017
