CIEN
LATEST_ANNOUNCEMENT_DT
2/20/1997
5/22/1997
8/20/1997
12/10/1997
2/19/1998
5/21/1998
9/14/1998
12/10/1998
2/18/1999
5/20/1999
8/19/1999
12/10/1999
2/17/2000
5/18/2000
8/17/2000
12/7/2000
2/15/2001
5/17/2001
8/16/2001
12/13/2001
2/21/2002
5/23/2002
8/22/2002
12/12/2002
2/20/2003
5/22/2003
8/21/2003
12/11/2003
2/19/2004
5/20/2004
8/19/2004
12/9/2004
2/23/2005
6/2/2005
9/1/2005
12/8/2005
3/2/2006
6/1/2006
8/31/2006
12/14/2006
3/1/2007
5/31/2007
8/30/2007
12/13/2007
3/7/2008
6/5/2008
9/4/2008
12/11/2008
3/5/2009
6/4/2009
9/3/2009
12/10/2009
3/4/2010
6/9/2010
9/8/2010
12/9/2010
3/7/2011
6/8/2011
9/1/2011
12/8/2011
3/7/2012
5/31/2012
8/30/2012
12/13/2012
3/7/2013
6/6/2013
9/4/2013
12/12/2013
3/6/2014
6/5/2014
9/4/2014
12/11/2014
3/5/2015
6/4/2015
9/3/2015
12/10/2015
03/03/2016
06/02/2016
09/01/2016
12/08/2016
03/08/2017
