PRGS
LATEST_ANNOUNCEMENT_DT
3/26/1996
6/24/1996
9/20/1996
12/20/1996
3/21/1997
6/20/1997
9/17/1997
12/19/1997
3/18/1998
6/17/1998
9/16/1998
12/18/1998
3/17/1999
6/16/1999
9/15/1999
12/17/1999
3/15/2000
6/14/2000
9/19/2000
12/19/2000
3/20/2001
6/19/2001
9/18/2001
12/18/2001
3/19/2002
6/18/2002
9/17/2002
12/17/2002
3/18/2003
6/17/2003
9/16/2003
12/17/2003
3/16/2004
6/17/2004
9/16/2004
12/21/2004
3/17/2005
6/16/2005
9/20/2005
12/20/2005
3/21/2006
6/19/2006
12/19/2006
12/20/2006
3/20/2007
6/19/2007
9/20/2007
12/20/2007
3/20/2008
6/19/2008
9/18/2008
1/29/2009
3/19/2009
6/18/2009
9/22/2009
12/22/2009
3/23/2010
6/22/2010
9/21/2010
12/21/2010
3/28/2011
6/28/2011
9/27/2011
1/3/2012
3/27/2012
6/27/2012
9/26/2012
1/3/2013
3/27/2013
6/26/2013
9/25/2013
1/9/2014
3/27/2014
6/26/2014
9/25/2014
1/13/2015
4/1/2015
7/1/2015
10/1/2015
1/12/2016
3/30/2016
07/06/2016
09/28/2016
01/16/2017
03/29/2017
