BLGM
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/31/1996
10/29/1996
1/28/1997
4/29/1997
7/29/1997
10/28/1997
1/26/1998
4/21/1998
7/28/1998
10/27/1998
1/26/1999
4/22/1999
7/22/1999
10/21/1999
1/25/2000
4/18/2000
7/25/2000
11/14/2000
1/30/2001
5/15/2001
7/31/2001
10/30/2001
2/5/2002
4/23/2002
7/23/2002
10/22/2002
2/4/2003
5/15/2003
7/29/2003
10/28/2003
2/24/2004
4/19/2004
7/27/2004
10/26/2004
2/8/2005
4/26/2005
7/26/2005
10/25/2005
2/7/2006
4/25/2006
7/25/2006
10/24/2006
2/5/2007
4/26/2007
7/26/2007
10/25/2007
3/6/2008
5/12/2008
8/14/2008
11/6/2008
4/15/2009
5/15/2009
