ZLC
LATEST_ANNOUNCEMENT_DT
5/29/1996
9/10/1996
12/9/1996
2/26/1997
5/29/1997
9/3/1997
11/24/1997
2/19/1998
5/21/1998
9/1/1998
11/17/1998
2/16/1999
5/18/1999
9/7/1999
11/12/1999
2/15/2000
5/11/2000
8/30/2000
11/14/2000
3/7/2001
5/10/2001
8/30/2001
11/13/2001
2/15/2002
5/14/2002
8/29/2002
11/14/2002
2/18/2003
5/15/2003
8/28/2003
11/18/2003
2/17/2004
5/18/2004
8/31/2004
11/16/2004
2/18/2005
5/17/2005
8/30/2005
11/16/2005
2/17/2006
5/17/2006
8/31/2006
11/16/2006
2/21/2007
5/22/2007
8/30/2007
11/20/2007
2/21/2008
5/22/2008
8/28/2008
11/25/2008
2/25/2009
5/27/2009
10/29/2009
11/24/2009
2/24/2010
5/26/2010
9/27/2010
11/23/2010
2/23/2011
5/25/2011
8/31/2011
11/21/2011
2/22/2012
5/23/2012
8/29/2012
11/20/2012
2/21/2013
5/22/2013
8/28/2013
11/26/2013
2/27/2014
5/20/2014
