POL
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/18/1996
10/17/1996
1/30/1997
4/23/1997
7/17/1997
10/16/1997
1/30/1998
4/23/1998
7/22/1998
10/20/1998
1/28/1999
4/28/1999
7/28/1999
10/27/1999
1/27/2000
5/3/2000
7/26/2000
10/30/2000
1/31/2001
4/30/2001
7/31/2001
10/30/2001
1/30/2002
4/30/2002
7/30/2002
10/30/2002
1/30/2003
4/29/2003
7/29/2003
10/29/2003
2/4/2004
4/28/2004
7/28/2004
10/27/2004
2/3/2005
4/28/2005
7/28/2005
10/27/2005
2/7/2006
5/3/2006
8/2/2006
11/1/2006
1/30/2007
5/2/2007
8/7/2007
10/30/2007
2/6/2008
5/6/2008
8/7/2008
11/5/2008
2/5/2009
5/6/2009
8/6/2009
11/4/2009
2/4/2010
5/5/2010
8/2/2010
11/4/2010
2/3/2011
5/4/2011
8/3/2011
10/25/2011
2/17/2012
5/3/2012
7/31/2012
10/24/2012
1/29/2013
5/1/2013
7/30/2013
10/24/2013
1/28/2014
4/30/2014
7/21/2014
10/23/2014
1/27/2015
4/30/2015
7/27/2015
10/27/2015
2/3/2016
04/26/2016
07/27/2016
10/26/2016
01/27/2017
04/25/2017
