EZPW
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/30/1996
11/14/1996
2/4/1997
4/29/1997
7/28/1997
11/11/1997
1/28/1998
4/29/1998
7/28/1998
1/26/1999
4/27/1999
7/27/1999
11/17/1999
1/25/2000
5/4/2000
8/1/2000
11/14/2000
2/14/2001
4/24/2001
7/24/2001
11/13/2001
1/22/2002
4/23/2002
7/23/2002
11/12/2002
1/20/2003
4/22/2003
7/21/2003
11/10/2003
1/19/2004
4/20/2004
7/20/2004
11/9/2004
1/20/2005
4/20/2005
7/20/2005
11/10/2005
1/24/2006
4/25/2006
7/25/2006
11/9/2006
1/23/2007
4/24/2007
7/24/2007
11/8/2007
1/24/2008
4/24/2008
7/24/2008
12/16/2008
1/22/2009
4/23/2009
7/23/2009
11/5/2009
1/21/2010
4/22/2010
7/22/2010
11/4/2010
1/20/2011
4/21/2011
7/21/2011
11/8/2011
1/19/2012
4/19/2012
7/30/2012
11/6/2012
1/22/2013
4/30/2013
7/30/2013
11/7/2013
1/28/2014
4/29/2014
7/29/2014
11/6/2014
1/27/2015
7/27/2015
11/9/2015
12/24/2015
2/8/2016
05/09/2016
08/03/2016
12/07/2016
02/02/2017
05/08/2017
