RT
LATEST_ANNOUNCEMENT_DT
3/26/1996
6/26/1996
9/30/1996
12/19/1996
4/4/1997
7/1/1997
9/29/1997
1/13/1998
4/6/1998
6/30/1998
10/5/1998
1/15/1999
4/12/1999
7/1/1999
9/30/1999
1/12/2000
4/11/2000
7/10/2000
10/5/2000
1/9/2001
4/10/2001
7/9/2001
10/3/2001
1/10/2002
4/10/2002
7/8/2002
10/8/2002
1/9/2003
4/8/2003
7/9/2003
10/6/2003
1/7/2004
4/6/2004
7/14/2004
10/4/2004
1/5/2005
3/30/2005
7/6/2005
10/5/2005
1/5/2006
3/29/2006
7/11/2006
10/11/2006
1/9/2007
4/11/2007
7/11/2007
10/10/2007
1/9/2008
4/2/2008
7/9/2008
10/8/2008
1/7/2009
4/7/2009
7/7/2009
10/7/2009
1/6/2010
4/7/2010
7/22/2010
10/6/2010
1/5/2011
4/6/2011
7/21/2011
10/5/2011
1/5/2012
4/4/2012
7/25/2012
10/10/2012
1/9/2013
4/10/2013
7/24/2013
10/9/2013
1/8/2014
4/9/2014
7/29/2014
10/8/2014
1/8/2015
4/9/2015
7/23/2015
10/8/2015
1/7/2016
4/7/2016
08/11/2016
10/06/2016
01/05/2017
