CDR
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/26/1996
10/25/1996
1/27/1997
4/29/1997
7/25/1997
10/27/1997
1/23/1998
5/13/1998
8/14/1998
11/11/1998
2/26/1999
5/17/1999
8/13/1999
11/15/1999
2/29/2000
5/17/2000
8/11/2000
11/16/2000
4/2/2001
5/16/2001
8/17/2001
11/19/2001
4/2/2002
5/20/2002
8/28/2002
11/15/2002
3/28/2003
5/16/2003
8/13/2003
11/13/2003
3/30/2004
5/14/2004
8/10/2004
11/15/2004
3/3/2005
5/5/2005
8/3/2005
10/31/2005
3/8/2006
5/8/2006
8/7/2006
11/6/2006
3/14/2007
5/7/2007
8/6/2007
11/5/2007
2/27/2008
4/30/2008
7/30/2008
10/29/2008
3/5/2009
5/5/2009
7/29/2009
10/28/2009
3/3/2010
5/6/2010
7/28/2010
10/27/2010
3/2/2011
5/5/2011
8/4/2011
11/9/2011
3/2/2012
5/7/2012
8/9/2012
11/8/2012
3/7/2013
5/9/2013
8/6/2013
11/7/2013
2/25/2014
5/6/2014
8/6/2014
10/30/2014
2/19/2015
5/5/2015
8/6/2015
11/5/2015
2/18/2016
05/05/2016
08/04/2016
11/03/2016
02/23/2017
05/04/2017
