NCOG
LATEST_ANNOUNCEMENT_DT
12/11/1996
2/18/1997
5/2/1997
8/5/1997
11/5/1997
2/18/1998
5/4/1998
8/4/1998
11/4/1998
2/19/1999
5/13/1999
8/2/1999
11/3/1999
2/16/2000
5/4/2000
8/2/2000
11/1/2000
2/13/2001
5/1/2001
7/31/2001
11/6/2001
2/12/2002
4/30/2002
8/6/2002
11/5/2002
2/12/2003
5/6/2003
8/5/2003
11/4/2003
2/9/2004
5/3/2004
8/2/2004
11/1/2004
3/15/2005
5/2/2005
7/29/2005
11/7/2005
2/13/2006
5/1/2006
7/31/2006
10/30/2006
5/15/2008
8/14/2007
11/14/2007
3/31/2008
5/15/2008
8/13/2008
11/13/2008
3/31/2009
5/15/2009
8/14/2009
11/13/2009
3/31/2010
5/14/2010
8/13/2010
11/15/2010
3/31/2011
5/13/2011
8/15/2011
11/14/2011
4/6/2012
