FLO
LATEST_ANNOUNCEMENT_DT
5/17/2001
8/9/2001
10/31/2001
1/31/2002
5/16/2002
8/8/2002
10/31/2002
1/30/2003
5/15/2003
8/7/2003
11/6/2003
2/5/2004
5/27/2004
8/19/2004
11/10/2004
2/3/2005
5/26/2005
8/18/2005
11/10/2005
2/2/2006
5/25/2006
8/17/2006
11/9/2006
2/1/2007
5/24/2007
8/16/2007
11/8/2007
1/31/2008
5/22/2008
8/14/2008
11/6/2008
2/5/2009
5/27/2009
8/19/2009
11/11/2009
2/4/2010
5/25/2010
8/19/2010
11/11/2010
2/8/2011
5/19/2011
8/17/2011
11/10/2011
2/9/2012
5/24/2012
8/14/2012
11/8/2012
2/7/2013
5/16/2013
8/13/2013
11/7/2013
2/6/2014
5/15/2014
8/12/2014
11/12/2014
2/12/2015
5/28/2015
8/12/2015
11/11/2015
2/10/2016
05/18/2016
08/10/2016
11/09/2016
02/13/2017
05/17/2017
