HA
LATEST_ANNOUNCEMENT_DT
4/24/1996
8/15/1996
11/4/1996
3/5/1997
5/8/1997
8/7/1997
11/6/1997
3/3/1998
5/7/1998
8/3/1998
11/2/1998
2/23/1999
5/3/1999
8/11/1999
11/4/1999
3/21/2000
5/3/2000
8/9/2000
11/14/2000
4/2/2001
5/15/2001
8/14/2001
11/14/2001
4/1/2002
5/15/2002
8/14/2002
11/15/2002
4/15/2003
5/20/2003
8/14/2003
11/17/2003
4/15/2004
5/20/2004
8/16/2004
11/15/2004
3/17/2005
4/28/2005
8/15/2005
11/9/2005
3/22/2006
5/8/2006
8/7/2006
11/1/2006
2/20/2007
5/2/2007
7/30/2007
10/30/2007
2/27/2008
4/30/2008
7/30/2008
10/29/2008
2/18/2009
4/28/2009
7/27/2009
10/20/2009
2/4/2010
4/22/2010
7/27/2010
10/19/2010
2/1/2011
4/26/2011
7/26/2011
10/18/2011
1/31/2012
4/24/2012
7/24/2012
10/23/2012
1/29/2013
4/23/2013
7/23/2013
10/22/2013
1/28/2014
4/22/2014
7/22/2014
10/21/2014
1/29/2015
4/23/2015
7/28/2015
10/19/2015
1/26/2016
04/21/2016
07/21/2016
10/18/2016
01/24/2017
04/20/2017
