SSAXQ
LATEST_ANNOUNCEMENT_DT
5/23/1996
8/22/1996
1/7/1997
2/20/1997
5/23/1997
8/19/1997
12/8/1997
2/24/1998
5/27/1998
8/20/1998
11/19/1998
2/18/1999
5/20/1999
8/19/1999
12/1/1999
2/25/2000
6/14/2000
