MEDQ
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/18/1996
10/17/1996
2/6/1997
4/16/1997
7/21/1997
10/20/1997
2/6/1998
4/20/1998
8/13/1998
10/20/1998
2/8/1999
4/21/1999
7/21/1999
10/25/1999
1/31/2000
4/25/2000
7/24/2000
10/19/2000
2/1/2001
4/25/2001
7/25/2001
10/24/2001
2/5/2002
4/23/2002
7/25/2002
10/23/2002
2/13/2003
4/24/2003
7/24/2003
10/22/2003
7/5/2007
7/5/2007
7/5/2007
7/5/2007
7/5/2007
7/5/2007
7/5/2007
7/5/2007
8/31/2007
8/31/2007
8/31/2007
8/31/2007
10/4/2007
10/4/2007
11/8/2007
3/17/2008
5/9/2008
8/8/2008
11/4/2008
3/11/2009
5/7/2009
7/30/2009
11/9/2009
3/12/2010
5/10/2010
8/9/2010
11/9/2010
3/16/2011
5/16/2011
8/15/2011
