GCO
LATEST_ANNOUNCEMENT_DT
5/23/1996
8/21/1996
11/19/1996
3/3/1997
5/22/1997
8/19/1997
11/18/1997
2/26/1998
5/19/1998
8/19/1998
11/16/1998
3/9/1999
5/26/1999
8/31/1999
11/23/1999
2/29/2000
5/23/2000
8/29/2000
11/16/2000
3/7/2001
5/23/2001
8/28/2001
11/27/2001
3/6/2002
5/29/2002
8/21/2002
11/20/2002
3/5/2003
5/22/2003
8/21/2003
11/20/2003
3/3/2004
5/26/2004
8/19/2004
11/18/2004
3/3/2005
5/26/2005
8/24/2005
11/22/2005
3/2/2006
5/25/2006
8/24/2006
11/21/2006
3/7/2007
5/31/2007
8/30/2007
11/29/2007
3/13/2008
5/29/2008
8/28/2008
11/25/2008
3/5/2009
5/28/2009
8/27/2009
11/24/2009
3/4/2010
5/27/2010
9/1/2010
11/23/2010
3/4/2011
5/26/2011
8/31/2011
11/22/2011
3/2/2012
5/23/2012
8/29/2012
11/30/2012
3/8/2013
5/31/2013
8/29/2013
12/6/2013
3/13/2014
5/30/2014
8/28/2014
12/5/2014
3/12/2015
5/29/2015
9/3/2015
12/4/2015
3/11/2016
05/26/2016
09/01/2016
12/02/2016
03/10/2017
