MOVIQ
LATEST_ANNOUNCEMENT_DT
11/5/1998
5/4/1999
8/5/1999
11/2/1999
5/2/2000
8/8/2000
11/2/2000
4/2/2001
5/3/2001
7/25/2001
10/25/2001
2/21/2002
5/10/2002
8/6/2002
8/5/2003
3/18/2005
5/12/2005
8/12/2005
11/10/2005
3/23/2006
5/11/2006
8/10/2006
1/19/2007
3/19/2007
5/11/2007
8/10/2007
6/27/2008
12/18/2008
1/8/2009
