NKTR
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/24/1996
10/22/1996
1/31/1997
4/24/1997
7/24/1997
10/6/1997
1/22/1998
4/21/1998
7/22/1998
10/21/1998
1/26/1999
4/21/1999
7/22/1999
10/25/1999
1/26/2000
4/19/2000
7/19/2000
10/23/2000
1/24/2001
5/1/2001
8/8/2001
10/24/2001
1/23/2002
5/2/2002
7/23/2002
10/22/2002
1/28/2003
4/22/2003
8/6/2003
11/5/2003
2/2/2004
5/5/2004
8/2/2004
11/3/2004
3/1/2005
5/9/2005
8/4/2005
11/3/2005
2/28/2006
5/10/2006
8/3/2006
11/2/2006
2/28/2007
5/9/2007
8/8/2007
11/7/2007
2/27/2008
5/7/2008
8/6/2008
11/6/2008
2/25/2009
5/6/2009
8/4/2009
11/4/2009
3/2/2010
5/5/2010
7/28/2010
11/4/2010
3/1/2011
4/27/2011
8/4/2011
11/2/2011
2/29/2012
5/2/2012
8/9/2012
11/9/2012
2/28/2013
5/9/2013
8/8/2013
11/7/2013
2/26/2014
5/7/2014
7/31/2014
11/6/2014
2/24/2015
4/30/2015
8/5/2015
11/5/2015
3/1/2016
05/03/2016
08/03/2016
11/03/2016
03/01/2017
05/02/2017
