LECO
LATEST_ANNOUNCEMENT_DT
3/6/1995
5/10/1995
7/27/1995
10/26/1995
2/29/1996
4/25/1996
7/25/1996
10/24/1996
2/19/1997
4/22/1997
7/24/1997
10/23/1997
2/10/1998
4/23/1998
7/22/1998
10/22/1998
2/3/1999
4/22/1999
7/22/1999
10/21/1999
2/3/2000
4/19/2000
7/19/2000
10/20/2000
2/8/2001
4/18/2001
7/18/2001
10/17/2001
2/7/2002
4/17/2002
7/17/2002
10/18/2002
2/7/2003
4/16/2003
7/18/2003
10/17/2003
2/13/2004
4/15/2004
7/20/2004
10/27/2004
1/31/2005
4/29/2005
7/28/2005
10/31/2005
2/21/2006
4/26/2006
7/25/2006
10/25/2006
2/22/2007
4/26/2007
7/26/2007
10/25/2007
2/22/2008
4/23/2008
7/23/2008
10/22/2008
2/23/2009
4/28/2009
7/28/2009
10/30/2009
2/22/2010
4/27/2010
7/27/2010
10/27/2010
2/18/2011
4/26/2011
7/21/2011
10/27/2011
2/17/2012
4/24/2012
7/30/2012
10/31/2012
2/15/2013
4/23/2013
7/29/2013
10/31/2013
2/14/2014
4/23/2014
7/27/2014
10/30/2014
2/17/2015
4/21/2015
7/27/2015
10/30/2015
02/23/2016
04/19/2016
07/25/2016
10/21/2016
02/28/2017
04/18/2017
