AIT
LATEST_ANNOUNCEMENT_DT
4/17/1996
8/6/1996
10/21/1996
1/15/1997
4/16/1997
8/7/1997
10/20/1997
1/16/1998
4/15/1998
8/6/1998
10/19/1998
1/20/1999
4/14/1999
8/5/1999
10/18/1999
1/18/2000
4/19/2000
8/8/2000
10/13/2000
1/11/2001
4/12/2001
8/8/2001
10/15/2001
1/17/2002
4/16/2002
8/6/2002
10/16/2002
1/15/2003
4/16/2003
8/8/2003
10/13/2003
1/13/2004
4/15/2004
8/6/2004
10/19/2004
1/14/2005
4/21/2005
8/9/2005
10/12/2005
1/18/2006
4/25/2006
8/8/2006
10/24/2006
1/18/2007
4/18/2007
8/9/2007
10/23/2007
1/23/2008
4/24/2008
8/8/2008
10/27/2008
1/26/2009
4/23/2009
8/7/2009
10/20/2009
1/20/2010
4/22/2010
8/10/2010
10/26/2010
1/21/2011
4/21/2011
8/9/2011
10/25/2011
1/25/2012
4/26/2012
8/9/2012
10/23/2012
1/31/2013
5/2/2013
8/14/2013
10/30/2013
1/30/2014
5/1/2014
8/13/2014
10/29/2014
1/29/2015
4/30/2015
8/12/2015
10/28/2015
1/28/2016
04/28/2016
08/12/2016
10/26/2016
01/26/2017
04/27/2017
