CKECQ
LATEST_ANNOUNCEMENT_DT
5/2/1996
7/22/1996
10/22/1996
2/4/1997
4/22/1997
7/22/1997
10/21/1997
2/3/1998
4/23/1998
7/21/1998
11/11/1998
2/9/1999
4/29/1999
8/10/1999
11/9/1999
2/17/2000
5/10/2000
9/29/2000
11/15/2000
4/2/2001
5/15/2001
8/14/2001
11/14/2001
