EPAY
LATEST_ANNOUNCEMENT_DT
8/9/1999
10/19/1999
1/18/2000
4/25/2000
8/9/2000
10/26/2000
1/31/2001
4/26/2001
8/9/2001
10/25/2001
1/29/2002
4/30/2002
8/23/2002
10/30/2002
1/28/2003
4/29/2003
8/12/2003
10/30/2003
1/28/2004
4/28/2004
8/11/2004
10/27/2004
1/26/2005
4/27/2005
8/10/2005
10/27/2005
1/25/2006
5/1/2006
8/9/2006
10/25/2006
1/24/2007
4/25/2007
8/8/2007
10/25/2007
1/24/2008
4/24/2008
8/7/2008
10/23/2008
1/22/2009
4/23/2009
8/5/2009
10/22/2009
1/28/2010
4/22/2010
8/12/2010
11/8/2010
2/7/2011
4/28/2011
8/11/2011
10/27/2011
1/31/2012
5/7/2012
8/9/2012
11/7/2012
2/4/2013
5/2/2013
8/20/2013
10/31/2013
1/30/2014
5/1/2014
8/12/2014
10/30/2014
1/29/2015
4/30/2015
8/11/2015
10/29/2015
1/28/2016
04/28/2016
08/25/2016
11/02/2016
02/01/2017
04/27/2017
