ACIIQ
LATEST_ANNOUNCEMENT_DT
4/23/1997
7/18/1997
10/20/1997
1/20/1998
4/21/1998
7/20/1998
10/20/1998
1/25/1999
4/20/1999
7/21/1999
10/21/1999
1/24/2000
4/24/2000
7/20/2000
10/18/2000
1/24/2001
4/23/2001
7/20/2001
10/22/2001
1/24/2002
4/22/2002
7/18/2002
10/21/2002
1/23/2003
4/21/2003
7/18/2003
10/20/2003
1/28/2004
4/21/2004
7/26/2004
10/15/2004
2/8/2005
4/25/2005
7/25/2005
10/25/2005
2/10/2006
4/21/2006
7/21/2006
10/20/2006
2/2/2007
4/23/2007
7/23/2007
10/19/2007
2/1/2008
4/21/2008
7/25/2008
10/27/2008
1/30/2009
4/24/2009
7/24/2009
10/30/2009
1/29/2010
4/19/2010
7/30/2010
10/29/2010
1/28/2011
4/26/2011
7/29/2011
10/28/2011
2/10/2012
5/1/2012
7/27/2012
10/26/2012
2/5/2013
4/23/2013
7/30/2013
10/29/2013
2/4/2014
4/22/2014
7/29/2014
10/28/2014
2/3/2015
4/21/2015
7/30/2015
11/9/2015
3/15/2016
