SCAI
LATEST_ANNOUNCEMENT_DT
9/5/2013
9/5/2013
9/5/2013
11/13/2013
3/13/2014
5/12/2014
8/13/2014
11/12/2014
3/10/2015
5/11/2015
8/4/2015
11/4/2015
2/16/2016
05/03/2016
08/02/2016
11/01/2016
03/07/2017
