TTWO
LATEST_ANNOUNCEMENT_DT
6/16/1997
9/16/1997
2/12/1998
6/12/1998
9/4/1998
12/21/1998
3/1/1999
5/26/1999
8/25/1999
12/16/1999
2/24/2000
6/1/2000
8/24/2000
12/14/2000
2/26/2001
5/24/2001
8/29/2001
2/12/2002
3/14/2002
6/6/2002
9/5/2002
12/17/2002
2/27/2003
5/29/2003
9/3/2003
12/18/2003
3/4/2004
6/8/2004
9/9/2004
12/16/2004
3/3/2005
6/2/2005
9/7/2005
1/25/2006
3/8/2006
6/8/2006
9/8/2006
2/28/2007
3/8/2007
6/11/2007
9/10/2007
12/18/2007
3/11/2008
6/5/2008
9/4/2008
12/17/2008
3/10/2009
5/26/2009
9/1/2009
12/17/2009
3/3/2010
6/8/2010
9/2/2010
12/16/2010
2/8/2011
5/24/2011
8/8/2011
11/8/2011
2/2/2012
5/22/2012
7/31/2012
10/31/2012
2/5/2013
5/13/2013
7/30/2013
10/29/2013
2/3/2014
5/13/2014
8/5/2014
10/29/2014
2/3/2015
5/18/2015
8/10/2015
11/5/2015
2/3/2016
05/18/2016
08/04/2016
11/02/2016
02/07/2017
05/17/2017
