AOS
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/11/1996
10/10/1996
1/16/1997
4/14/1997
7/14/1997
10/14/1997
1/19/1998
4/15/1998
7/15/1998
10/13/1998
1/19/1999
4/15/1999
7/16/1999
10/18/1999
4/14/2000
4/14/2000
7/17/2000
10/19/2000
1/22/2001
4/12/2001
7/17/2001
10/17/2001
1/23/2002
4/12/2002
7/12/2002
10/14/2002
1/21/2003
4/15/2003
7/15/2003
10/14/2003
1/21/2004
4/15/2004
7/15/2004
10/14/2004
1/21/2005
4/15/2005
7/15/2005
10/14/2005
1/20/2006
4/18/2006
7/19/2006
10/17/2006
1/22/2007
4/18/2007
7/18/2007
10/16/2007
1/23/2008
4/17/2008
7/17/2008
10/16/2008
1/22/2009
4/17/2009
7/17/2009
10/16/2009
1/26/2010
4/20/2010
7/20/2010
10/19/2010
1/25/2011
4/19/2011
7/19/2011
10/21/2011
1/27/2012
4/20/2012
7/18/2012
10/17/2012
1/24/2013
4/23/2013
7/24/2013
10/21/2013
1/28/2014
4/22/2014
7/22/2014
10/21/2014
1/27/2015
4/24/2015
7/23/2015
10/21/2015
1/29/2016
04/27/2016
07/26/2016
10/26/2016
02/02/2017
04/26/2017
