ANF
LATEST_ANNOUNCEMENT_DT
7/17/1996
9/13/1996
11/19/1996
2/24/1997
5/13/1997
8/11/1997
11/11/1997
2/17/1998
5/18/1998
8/11/1998
11/10/1998
2/16/1999
5/11/1999
8/10/1999
12/12/1999
2/15/2000
5/9/2000
8/8/2000
11/7/2000
2/20/2001
5/15/2001
8/14/2001
11/13/2001
2/19/2002
5/14/2002
8/13/2002
11/12/2002
2/18/2003
5/13/2003
8/12/2003
11/11/2003
2/17/2004
5/11/2004
8/10/2004
11/9/2004
2/15/2005
5/17/2005
8/16/2005
11/15/2005
2/14/2006
5/17/2006
8/15/2006
11/14/2006
2/21/2007
5/23/2007
8/22/2007
11/21/2007
2/15/2008
5/16/2008
8/15/2008
11/14/2008
2/13/2009
5/15/2009
8/14/2009
11/13/2009
2/16/2010
5/18/2010
8/17/2010
11/16/2010
2/16/2011
5/18/2011
8/17/2011
11/16/2011
2/15/2012
5/16/2012
8/15/2012
11/14/2012
2/22/2013
5/24/2013
8/22/2013
11/21/2013
2/26/2014
5/29/2014
8/28/2014
12/3/2014
3/4/2015
5/28/2015
8/26/2015
11/20/2015
03/02/2016
05/26/2016
08/30/2016
11/18/2016
03/02/2017
05/25/2017
