JLG
LATEST_ANNOUNCEMENT_DT
5/23/1996
9/5/1996
11/18/1996
2/20/1997
5/22/1997
9/4/1997
11/17/1997
2/19/1998
5/21/1998
9/3/1998
11/19/1998
2/22/1999
5/25/1999
9/8/1999
11/17/1999
2/23/2000
5/24/2000
9/6/2000
11/20/2000
2/22/2001
5/23/2001
9/12/2001
11/15/2001
2/22/2002
5/28/2002
9/23/2002
11/21/2002
2/24/2003
5/27/2003
9/22/2003
11/20/2003
3/16/2004
5/20/2004
9/23/2004
11/18/2004
2/24/2005
5/25/2005
9/22/2005
11/16/2005
2/22/2006
5/24/2006
9/25/2006
11/20/2006
