CDT
LATEST_ANNOUNCEMENT_DT
5/21/1996
9/11/1996
11/18/1996
2/26/1997
5/28/1997
9/9/1997
11/20/1997
2/24/1998
5/27/1998
9/14/1998
12/1/1998
3/2/1999
5/27/1999
9/22/1999
11/30/1999
2/23/2000
5/24/2000
9/20/2000
11/29/2000
2/27/2001
5/23/2001
10/1/2001
12/5/2001
2/28/2002
5/29/2002
9/26/2002
12/3/2002
2/27/2003
5/28/2003
10/2/2003
12/8/2003
3/8/2004
6/9/2004
