MAPS
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/22/1996
11/8/1996
1/23/1997
4/25/1997
7/23/1997
11/7/1997
1/21/1998
4/24/1998
7/23/1998
11/4/1998
1/20/1999
4/21/1999
7/22/1999
11/9/1999
1/18/2000
4/18/2000
7/19/2000
11/2/2000
1/23/2001
4/19/2001
7/19/2001
11/1/2001
1/22/2002
4/18/2002
7/18/2002
10/31/2002
1/22/2003
4/24/2003
7/22/2003
10/30/2003
1/22/2004
4/21/2004
7/22/2004
10/28/2004
1/20/2005
4/21/2005
7/21/2005
11/3/2005
2/2/2006
4/27/2006
7/27/2006
11/2/2006
2/1/2007
