SRZ
LATEST_ANNOUNCEMENT_DT
8/8/1996
11/6/1996
3/5/1997
5/6/1997
8/5/1997
11/4/1997
3/4/1998
4/30/1998
8/5/1998
11/4/1998
3/4/1999
5/5/1999
8/4/1999
11/3/1999
3/8/2000
5/3/2000
8/2/2000
11/1/2000
3/7/2001
5/9/2001
8/7/2001
11/8/2001
2/27/2002
5/2/2002
8/6/2002
11/7/2002
2/28/2003
5/8/2003
8/6/2003
11/4/2003
2/26/2004
5/4/2004
8/3/2004
11/4/2004
3/7/2005
5/3/2005
8/4/2005
11/8/2005
3/7/2006
3/24/2008
3/24/2008
3/24/2008
3/24/2008
7/31/2008
7/31/2008
7/31/2008
7/31/2008
8/20/2008
9/10/2008
11/7/2008
3/2/2009
5/8/2009
8/6/2009
11/9/2009
2/25/2010
5/4/2010
8/5/2010
11/4/2010
2/25/2011
5/6/2011
8/3/2011
11/7/2011
3/1/2012
5/1/2012
8/2/2012
11/9/2012
