LBTYA
LATEST_ANNOUNCEMENT_DT
5/13/2005
8/11/2005
11/10/2005
3/14/2006
5/10/2006
8/9/2006
11/8/2006
2/28/2007
5/10/2007
8/8/2007
11/8/2007
2/26/2008
5/7/2008
8/5/2008
11/5/2008
2/23/2009
5/5/2009
8/4/2009
11/4/2009
2/24/2010
5/6/2010
8/3/2010
11/3/2010
2/24/2011
5/4/2011
8/2/2011
11/2/2011
2/22/2012
5/10/2012
8/2/2012
11/4/2012
2/13/2013
5/6/2013
8/1/2013
11/5/2013
2/13/2014
5/6/2014
8/5/2014
11/5/2014
2/12/2015
5/7/2015
8/4/2015
11/05/2015
02/16/2016
05/09/2016
08/04/2016
11/03/2016
02/20/2017
05/08/2017
